USTHB
ECOLE SUPERIEURE DE COMMERCE - KOLEA
ECOLE DES HAUTES ETUDES COMMERCIALES  - KOLEA
ECOLE NATIONALE POLYTECHNIQUE D ALGER
ECOLE NATIONALE SUPERIEURE AGRONOMIQUE-ALGER
ECOLE NORMALE SUPERIEURE KOUBA (E.N.S)
ECOLE NATIONALE SUPERIEURE VETERINAIRE - ALGER
ECOLE NATIONALE SUP. DES SCI. DE LA MER ET DE L AMENAGEMENT DU LITTORAL-ALGER
UNIV. TIZI OUZOU
UNIV. CHLEF
UNIV. MEDEA
UNIV. LAGHOUAT
UNIV. BEJAIA
UNIV. DJELFA
ECOLE NORMALE SUPERIEURE DE BOUZAREAH (E.N.S)
UNIV. BOUMERDES
UNIV. KHEMIS MILIANA
C. UNIV. TAMANGHASSET
UNIV. GHARDAIA
UNIV. ALGER 1
UNIV. ALGER 2
UNIV. ALGER 3
C. UNIV. TIPAZA
UNIV. BLIDA 1
UNIV. BLIDA 2
C. UNIV ILLIZI
ECOLE NORMALE SUPERIEURE DE LAGHOUAT
C. UNIV. AFLOU
DAR EL IMAM MOHAMMEDIA (UNIV. ALGER 1)
ECOLE NATIONALE SUP. EN STATISTIQUE ET EN ECONOMIQUE APPLIQUEE- KOLEA
UNIV. BLIDA 1 - I.S.T.A
UNIV. BOUIRA –  I.S.T.A
ECOLE SUPERIEURE DE  GESTION ET DE COMMERCE INTERNATIONAL- KOLEA
MR LE CHEF DU CABINET
CONFERENCE REGIONALE CENTRE
CONFERENCE REGIONALE EST
CONFERENCE REGIONALE OUEST
ECOLE NATIONALE SUPERIEURE DES TRAVAUX PUBLICS-ALGER 
DES
DGR
DRI
UNIV. CONSTANTINE 1
UNIV. EL TARF
UNIV. ANNABA
UNIV. SETIF 1
UNIV. BATNA 1
UNIV. OUM EL BOUAGHI
UNIV. JIJEL
UNIV. TEBESSA
UNIV. BISKRA
UNIV. MSILA
UNIV. GUELMA
UNIV. SKIKDA
UNIV. OUARGLA
UNIV. SCI ISLAMIQUES EMIR (E.A.K)
ECOLE NORMALE SUPERIEURE DE CONSTANTINE (E.N.S)
UNIV  BORDJ BOU ARRERIDJ
UNIV KHENCHELA
UNIV EL-OUED
UNIV SOUK AHRAS
UNIV BOUIRA
C. UNIV MILA
ECOLE NATIONALE SUPERIEURE DES MINES ET DE LA METALLURGIE ( ANNABA)
ECOLE NORMALE SUPERIEURE D ENSEIGNEMENT TECHNIQUE DE SKIKDA (E.N.S.E.T)
UNIV. CONSTANTINE 2
UNIV. CONSTANTINE 3
UNIV. SETIF 2
ECOLE NATIONALE SUPERIEURE POLYTHECHNIQUE DE CONSTANTINE
INSTITUT VETERINAIRE- UNIV.BATNA 1
ECOLE NORMALE SUPERIEURE DE OUARGLA
ECOLE NORMALE SUPERIEURE DE SETIF
C . UNIV BARIKA
UNIV. BATNA 2
UNIV. CONSTANTINE 1 - I.S.T.A
INSTITUT VETERINAIRE - UNIV.CONSTANTINE 1
E.N.S. BOU SAADA
UNIV. OUARGLA – I.S.T.A.
UNIV. OUM EL BOUAGHI – I.S.T.A
UNIV. BATNA 1 (SCIENCES AGRONOMIQUES)
UNIV. BATNA 2 (SCIENCES BIOLOGIQUES)
UNIV. CONSTANTINE 3 (GENIE DES PROCEDES)
ECOLE SUPERIEURE D INFORMATIQUE | ESI
UNIV. MSILA - UNIV  BORDJ BOU ARRERIDJ - UNIV BOUIRA
UNIV. TLEMCEN - UNIV. SIDI BEL ABBES - C. UNIV.  AIN TEMOUCHENT
UNIV. CONSTANTINE 1 - C. UNIV MILA
UNIV. SKIKDA - UNIV. CONSTANTINE 3
UNIV. ALGER 1 - C. UNIV. TIPAZA - UNIV. BLIDA 2
UNIV. TIZI OUZOU - UNIV. SETIF 1
UNIV. MSILA - UNIV  BORDJ BOU ARRERIDJ
UNIV. TLEMCEN - UNIV. SIDI BEL ABBES - C. UNIV.  AIN TEMOUCHENT
UNIV. CHLEF - UNIV. KHEMIS MILIANA - UNIV. BLIDA 2
UNIV. TLEMCEN - UNIV. SIDI BEL ABBES - C. UNIV.  AIN TEMOUCHENT
UNIV. TIZI OUZOU - UNIV. BOUMERDES - UNIV. ALGER 3 - C. UNIV. TIPAZA - UNIV. BLIDA 2
UNIV. BISKRA - UNIV EL-OUED
UNIV. ALGER 1 - UNIV. TIZI OUZOU - UNIV. BLIDA 1
UNIV. MSILA - UNIV  BORDJ BOU ARRERIDJ - UNIV BOUIRA
UNIV. CHLEF - UNIV. KHEMIS MILIANA - UNIV. BLIDA 2
UNIV. BOUMERDES - UNIV. ALGER 2 - C. UNIV. TIPAZA
UNIV. MSILA - UNIV BOUIRA - UNIV. SETIF 2
C. UNIV MILA - UNIV. CONSTANTINE 2
UNIV. CHLEF - UNIV. KHEMIS MILIANA
ECOLE NATIONALE SUPERIEURE HYDRAULIQUE-BLIDA 
MR HAOUCHINE
ADMINISTRATEUR DU SITE
MINISTERE DE LENSEIGNEMENT SUPERIEUR
MR MOSTEGHANEMI
ECOLE POLYTECHNIQUE D'ARCHITECTURE ET D'URBANISME-ALGER 
ECOLE NATIONALE SUPERIEURE EN INFORMATIQUE - ALGER
ECOLE NATIONALE SUPERIEURE DE TECHNOLOGIE-ALGER 
ECOLE NATIONALE SUPERIEURE DE BIOTECHNOLOGIE DE CONSTANTINE
ECOLE SUPERIEURE DES TECHNOLOGIES INDUSTRIELLES DE ANNABA
ECOLE SUPERIEURE DES SCIENCES APPLIQUEES DE TLEMCEN
ECOLE SUPERIEURE EN GENIE ELECTRIQUE ET ENERGETIQUE D ORAN
ECOLE SUPERIEURE DE COMPTABILITE ET DE FINANCE DE CONSTANTINE
ECOLE SUPERIEURE DES SCIENCES DE GESTION DE ANNABA
ECOLE SUPERIEURE DE MANAGEMENT DE TLEMCEN
ECOLE SUPERIEURE D ECONOMIE D ORAN
ECOLE NATIONALE POLYTECHNIQUES D ORAN
ECOLE SUPERIEURE DE JOURNALISME ET DES SCIENCES DE L'INFORMATION-ALGER
ECOLE SUPERIEURE EN INFORMATIQUE-SIDI BEL ABBES
ECOLE NATIONALE  SUPERIEURE DES SCIENCES POLITIQUES-ALGER
